s,nodes,edges
1,365228,19559507901
2,360470,4449044967
3,347650,2275112645
4,326052,1385229408
5,299541,928787082
6,272463,665157710
7,245647,499416857
8,218299,387890451
9,198944,309123269
10,183416,250585869
11,170122,205805186
12,158404,170726050
13,147943,142708387
14,138431,119974461
15,129871,101297103
16,122080,85787713
17,115073,72788144
18,108432,61816360
19,102452,52503326
20,96854,44574481
21,91811,37808450
22,87074,32030294
23,82699,27097463
24,78630,22898447
25,74726,19323293
26,71092,16291683
27,67717,13734771
28,64430,11581329
29,61477,9775837
30,58571,8266536
31,55880,7012001
32,53259,5968142
33,50926,5100180
34,48649,4376893
35,46431,3779018
36,44272,3280289
37,42106,2863403
38,40158,2510951
39,38147,2214185
40,36260,1966194
41,34414,1755187
42,32608,1573652
43,30825,1418510
44,29011,1285102
45,27238,1170130
46,25468,1070573
47,23628,983805
48,21689,908782
49,19601,843650
50,16787,787005
51,10148,739419
52,9778,698406
53,9369,660646
54,8977,625685
55,8660,592760
56,8371,562277
57,8048,533793
58,7751,506905
59,7474,481712
60,7176,458302
61,6894,435965
62,6681,414888
63,6412,395788
64,6189,377766
65,5951,360922
66,5731,345149
67,5521,330475
68,5298,316632
69,5099,303578
70,4916,291189
71,4755,279751
72,4555,268572
73,4410,258043
74,4240,248045
75,4100,238461
76,3971,229302
77,3826,220540
78,3697,212282
79,3575,204242
80,3447,196479
81,3341,188915
82,3235,181773
83,3123,174556
84,3006,167474
85,2895,160776
86,2808,154262
87,2719,148018
88,2628,141876
89,2529,136179
90,2482,130789
91,2405,125604
92,2301,120515
93,2255,115693
94,2168,111041
95,2086,106373
96,2002,101953
97,1945,97622
98,1895,93383
99,1841,89387
100,1777,85472
101,1726,81661
102,1669,77958
103,1610,74351
104,1556,70859
105,1516,67430
106,1477,64161
107,1438,60878
108,1399,57854
109,1356,54969
110,1305,52049
111,1267,49298
112,1224,46527
113,1192,43957
114,1146,41406
115,1119,38950
116,1078,36586
117,1044,34233
118,1001,31947
119,977,29959
120,957,27872
121,930,25877
122,900,23999
123,882,22162
124,854,20502
125,821,18776
126,794,17193
127,767,15722
128,747,14209
129,726,12884
130,712,11569
131,692,10264
132,668,8994
133,645,7794
134,610,6728
135,577,5814
136,550,4998
137,526,4170
138,502,3480
139,466,2922
140,428,2408
141,389,1951
142,361,1530
143,336,1200
144,311,909
145,278,639
146,251,413
147,206,237
148,144,127
149,85,80
150,59,62
151,30,46
152,28,45
153,26,44
154,26,44
155,26,44
156,26,44
157,26,43
158,26,42
159,26,41
160,26,41
161,26,41
162,26,41
163,26,40
164,26,40
165,26,39
166,26,38
167,26,37
168,26,36
169,26,35
170,26,35
171,26,35
172,26,35
173,26,34
174,26,34
175,26,34
176,25,33
177,25,33
178,25,33
179,25,33
180,25,33
181,25,33
182,25,33
183,25,32
184,25,32
185,25,32
186,25,32
187,25,32
188,23,30
189,23,30
190,23,29
191,23,29
192,22,27
193,22,27
194,21,26
195,21,26
196,21,26
197,21,26
198,21,26
199,20,25
200,20,25
201,18,24
202,18,24
203,18,24
204,18,24
205,18,24
206,18,24
207,18,24
208,18,24
209,18,24
210,18,23
211,18,23
212,18,23
213,18,23
214,18,23
215,18,23
216,18,23
217,18,22
218,18,22
219,18,22
220,18,21
221,18,21
222,18,21
223,18,21
224,16,20
225,16,20
226,16,20
227,16,19
228,16,19
229,16,19
230,16,19
231,15,16
232,15,16
233,15,16
234,15,16
235,15,16
236,14,15
237,14,15
238,14,15
239,14,15
240,14,15
241,12,14
242,12,14
243,12,14
244,12,14
245,12,14
246,12,14
247,12,14
248,12,14
249,12,14
250,12,14
251,12,14
252,12,14
253,12,14
254,12,14
255,12,14
256,12,14
257,12,14
258,12,14
259,12,14
260,12,14
261,12,14
262,12,14
263,12,14
264,12,14
265,12,14
266,12,14
267,12,14
268,12,14
269,12,14
270,12,14
271,12,14
272,12,14
273,12,14
274,12,14
275,12,14
276,12,14
277,12,14
278,12,14
279,12,14
280,12,14
281,12,14
282,12,14
283,12,14
284,12,14
285,12,14
286,12,14
287,12,14
288,12,14
289,12,14
290,12,14
291,12,14
292,12,14
293,12,14
294,12,14
295,12,14
296,12,14
297,12,14
298,12,14
299,12,14
300,12,13
301,12,13
302,12,13
303,12,13
304,12,13
305,11,12
306,11,12
307,11,12
308,11,12
309,11,12
310,11,12
311,11,12
312,11,12
313,11,12
314,11,12
315,11,12
316,11,12
317,11,12
318,11,12
319,11,12
320,11,12
321,11,12
322,11,12
323,11,12
324,11,12
325,11,12
326,11,12
327,11,12
328,11,12
329,11,12
330,11,12
331,11,12
332,11,12
333,11,12
334,11,12
335,11,11
336,11,10
337,11,10
338,11,10
339,11,10
340,11,10
341,10,9
342,10,9
343,10,9
344,10,9
345,10,9
