s	nodes	edges
1	300913	13284709907
2	296563	2968927196
3	285156	1530240645
4	266260	940874721
5	243606	636650777
6	220891	459832341
7	198719	347877510
8	176966	271948658
9	161363	217908468
10	148766	177498498
11	137833	146422483
12	128188	121942172
13	119712	102283923
14	111972	86251473
15	104920	73014211
16	98560	61979551
17	92740	52693144
18	87276	44834595
19	82336	38143345
20	77763	32423774
21	73633	27525042
22	69766	23329747
23	66168	19733655
24	62716	16662790
25	59596	14040586
26	56653	11815109
27	53819	9940403
28	51073	8360643
29	48645	7036000
30	46291	5929849
31	44042	5009854
32	41893	4243741
33	40067	3605407
34	38167	3076736
35	36377	2640332
36	34583	2277719
37	32850	1976375
38	31258	1724223
39	29645	1513168
40	28088	1337170
41	26515	1187851
42	25024	1060090
43	23442	951307
44	21857	857391
45	20381	777943
46	18772	709134
47	16967	649049
48	15102	597991
49	12943	553484
50	10121	515941
51	6446	485446
52	6158	459230
53	5885	435065
54	5665	412189
55	5444	390786
56	5232	371129
57	5010	352735
58	4829	335365
59	4659	319281
60	4478	304109
61	4299	289879
62	4150	276522
63	3980	264342
64	3833	252992
65	3691	242479
66	3548	232933
67	3423	224013
68	3281	215559
69	3161	207779
70	3060	200220
71	2956	192938
72	2838	186237
73	2754	179695
74	2659	173660
75	2565	167703
76	2473	161963
77	2384	156548
78	2309	151368
79	2248	146199
80	2174	141099
81	2087	136289
82	1994	131609
83	1933	126823
84	1882	122311
85	1839	117848
86	1760	113530
87	1700	109455
88	1651	105460
89	1594	101749
90	1552	98261
91	1506	94772
92	1456	91395
93	1413	88089
94	1358	84800
95	1319	81659
96	1284	78603
97	1259	75481
98	1231	72565
99	1191	69596
100	1161	66736
101	1123	64097
102	1085	61377
103	1061	58686
104	1032	56038
105	994	53489
106	953	51010
107	927	48604
108	901	46375
109	871	44120
110	845	41913
111	826	39806
112	796	37574
113	767	35468
114	743	33402
115	724	31445
116	705	29583
117	686	27794
118	670	25966
119	651	24263
120	638	22556
121	625	20929
122	601	19493
123	579	17914
124	558	16421
125	539	15015
126	522	13663
127	509	12436
128	497	11286
129	484	10080
130	471	8863
131	450	7713
132	435	6644
133	417	5781
134	400	5004
135	383	4238
136	369	3524
137	352	2965
138	334	2418
139	309	1975
140	280	1548
141	262	1208
142	244	951
143	213	637
144	192	435
145	156	244
146	119	126
147	72	56
148	41	30
149	29	24
150	16	17
151	8	13
152	8	13
153	8	13
154	8	13
155	8	13
156	8	13
157	8	13
158	8	13
159	8	13
160	8	13
161	8	13
162	8	13
163	8	13
164	8	13
165	8	13
166	8	13
167	8	13
168	8	13
169	8	13
170	8	13
171	8	13
172	8	13
173	8	13
174	8	13
175	8	13
176	8	13
177	8	13
178	8	13
179	8	13
180	8	13
181	8	13
182	8	13
183	8	13
184	8	13
185	8	13
186	8	13
187	8	13
188	8	13
189	8	13
190	8	12
191	8	12
192	7	11
193	7	11
194	7	11
195	7	11
196	7	11
197	7	11
198	7	11
199	7	11
200	7	11
201	7	11
202	7	11
203	7	11
204	7	11
205	7	11
206	7	11
207	7	11
208	7	11
209	7	11
210	7	11
211	7	11
212	7	11
213	7	11
214	7	11
215	7	11
216	7	11
217	7	11
218	7	11
219	7	11
220	7	11
221	7	11
222	7	11
223	7	11
224	7	10
225	7	10
226	7	10
227	7	10
228	6	7
229	6	7
230	6	7
231	6	7
232	6	7
233	6	7
234	6	7
235	6	7
236	6	7
237	4	6
238	4	6
239	4	6
240	4	6
241	4	6
242	4	6
243	4	6
244	4	6
245	4	6
246	4	6
247	4	6
248	4	6
249	4	6
250	4	6
251	4	6
252	4	6
253	4	6
254	4	6
255	4	6
256	4	6
257	4	6
258	4	6
259	4	6
260	4	6
261	4	6
262	4	6
263	4	6
264	4	6
265	4	6
266	4	6
267	4	6
268	4	6
269	4	6
270	4	6
271	4	6
272	4	6
273	4	6
274	4	6
275	4	6
276	4	6
277	4	6
278	4	6
279	4	6
280	4	6
281	4	6
282	4	6
283	4	6
284	4	6
285	4	6
286	4	6
287	4	6
288	4	6
289	4	6
290	4	6
291	4	6
292	4	6
293	4	6
294	4	6
295	4	6
296	4	6
297	4	6
298	4	6
299	4	6
300	4	6
301	4	6
302	4	6
303	4	6
304	4	6
305	4	6
306	4	6
307	4	6
308	4	6
309	4	6
310	4	6
311	4	6
312	4	6
313	4	6
314	4	6
315	4	6
316	4	6
317	4	6
318	4	6
319	4	6
320	4	6
321	4	6
322	4	6
323	4	6
324	4	6
325	4	6
326	4	6
327	4	6
328	4	6
329	4	6
330	4	6
331	4	6
332	4	5
333	4	4
334	4	4
335	4	4
336	4	4
337	4	4
338	3	3
339	3	3
340	3	3
341	3	3
342	3	3
343	3	3
344	2	1
345	2	1
